Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Nick Franklin,Pirates (AAA),28,44,114,136,22,14,5,0,3,15,12,15,0,31,2,4,1,5,2,2,0.192982456,10166,2B
2019,Nick Franklin,Angels (AAA),28,17,60,70,19,11,4,1,3,13,18,8,0,12,1,1,0,0,1,1,0.316666666,10166,2B
2019,Gift Ngoepe,Phillies (AAA),29,41,122,135,27,14,8,0,5,17,21,12,1,56,1,0,0,1,1,0,0.221311475,10340,2B
2019,Arismendy Alcantara,Mets (AA),27,27,99,112,26,17,7,0,2,16,10,11,0,27,1,0,0,1,5,1,0.262626262,10711,2B
2019,Arismendy Alcantara,Mets (AAA),27,61,185,210,57,34,11,3,9,40,33,22,1,50,0,3,0,2,7,1,0.308108108,10711,2B
2019,Phil Gosselin,Phillies (AAA),30,47,178,216,62,38,15,2,7,35,33,30,0,37,3,4,1,1,2,1,0.348314606,10953,2B
2019,Mike Freeman,Indians (AAA),31,9,24,33,5,2,0,0,3,6,3,9,0,7,0,0,0,2,1,0,0.208333333,11241,2B
2019,Adrian Sanchez,Nationals (AA),28,52,199,215,64,43,14,1,6,34,26,12,1,28,2,2,0,6,9,5,0.32160804,11338,2B
2019,Ronny Rodriguez,Tigers (AAA),27,34,130,137,39,24,6,2,7,22,22,4,0,29,1,2,0,2,4,0,0.3,11875,2B
2019,Breyvic Valera,Giants (AAA),27,24,74,92,19,15,3,0,1,10,7,16,0,10,1,0,1,0,2,1,0.256756756,12758,2B
2019,Breyvic Valera,Yankees (AAA),27,65,235,268,77,52,13,1,11,31,36,26,2,24,3,0,4,4,6,4,0.327659574,12758,2B
2019,Brad Miller,Yankees (AAA),29,41,136,163,40,20,9,1,10,31,29,24,1,40,1,2,0,2,1,3,0.294117647,12775,2B
2019,Alen Hanson,Blue Jays (AAA),26,46,157,171,30,23,3,1,3,18,18,9,0,36,1,1,3,4,7,2,0.191082802,12926,2B
2019,Kelby Tomlinson,Diamondbacks (AAA),29,30,87,100,19,15,3,1,0,15,5,12,2,25,1,0,0,1,2,2,0.218390804,13005,2B
2019,Luis Sardinas,Nationals (AA),26,59,165,189,33,24,8,0,1,18,14,17,2,24,1,3,3,6,1,3,0.2,13153,2B
