Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Tomas Telis,Twins (AAA),28,61,226,241,70,46,16,2,6,30,32,11,0,26,2,2,0,1,0,0,0.309734513,10067,C
2019,Francisco Arcia,Cubs (AAA),29,51,160,171,29,24,5,0,0,12,14,6,1,28,3,1,1,11,0,2,0.18125,10286,C
2019,John Ryan Murphy,Diamondbacks (AAA),28,36,124,136,31,15,7,0,9,26,26,12,1,34,0,0,0,1,0,0,0.25,10346,C
2019,Rocky Gale,Dodgers (AAA),31,30,100,109,25,18,4,1,2,12,14,7,0,24,1,1,0,2,1,0,0.25,10533,C
2019,David Freitas,Brewers (AAA),30,65,234,269,89,65,17,0,7,36,55,30,1,41,2,2,0,12,0,1,0.38034188,10619,C
2019,Carlos Perez,Orioles (AA),28,66,242,267,63,39,14,0,10,25,38,14,1,33,5,5,1,6,0,0,0.260330578,10642,C
2019,Rob Brantly,Phillies (AAA),29,63,195,226,58,38,13,2,5,26,21,27,2,23,4,0,0,7,0,0,0.297435897,10655,C
2019,Cameron Rupp,Athletics (AAA),30,21,62,73,12,6,3,0,3,6,7,7,0,23,3,1,0,1,0,0,0.193548387,11146,C
2019,Cameron Rupp,Tigers (AAA),30,21,71,79,18,12,5,0,1,6,6,6,0,18,2,0,0,3,0,0,0.253521126,11146,C
2019,Bryan Holaday,Marlins (AAA),31,35,93,118,23,14,7,0,2,8,12,17,2,12,5,2,1,5,1,1,0.247311827,11287,C
2019,Elias Diaz,Pirates (AAA),28,7,29,30,12,9,3,0,0,5,4,1,0,5,0,0,0,0,0,0,0.413793103,11680,C
2019,Beau Taylor,Athletics (AAA),29,53,168,214,46,26,12,1,7,35,29,44,1,61,2,0,0,4,0,0,0.273809523,12384,C
2019,Jett Bandy,Rangers (AAA),29,52,173,189,38,22,7,0,9,21,25,9,0,56,6,0,1,5,0,1,0.219653179,12508,C
2019,Raffy Lopez,Braves (AAA),31,14,47,55,15,9,4,0,2,13,7,8,1,12,0,0,0,1,0,0,0.319148936,12606,C
2019,Taylor Davis,Cubs (AAA),29,52,178,213,45,37,3,0,5,21,22,29,0,32,1,1,4,9,0,0,0.252808988,12782,C
2019,Michael Perez,Rays (AAA),26,33,109,128,27,14,5,0,8,17,30,15,0,31,0,4,0,2,0,0,0.247706422,12977,C
2019,Andrew Susac,Royals (AAA),29,26,77,93,18,10,4,0,4,11,15,14,0,24,2,0,0,1,3,2,0.233766233,13132,C
2019,Jose Briceno,Angels (AAA),26,22,79,84,17,10,3,0,4,8,17,3,0,20,2,0,0,4,2,0,0.215189873,13151,C
2019,Spencer Kieboom,Nationals (AA),28,43,140,157,31,23,7,0,1,11,14,15,0,27,0,2,0,2,0,0,0.221428571,13300,C
2019,Oscar Hernandez,Red Sox (AAA),25,33,100,116,23,11,8,0,4,15,14,9,0,22,2,2,2,3,0,0,0.23,13490,C
2019,Jacob Stallings,Pirates (AAA),29,15,51,61,14,3,9,0,2,11,7,4,0,9,4,2,0,0,0,0,0.274509803,13723,C
2019,Tomas Nido,Mets (AAA),25,12,38,40,11,10,1,0,0,3,4,1,0,13,0,1,0,1,0,0,0.289473684,13755,C
2019,Anthony Bemboom,Rays (AAA),29,14,47,50,10,6,3,0,1,7,6,2,0,10,0,1,0,2,0,1,0.212765957,13854,C
2019,Eric Haase,Indians (AAA),26,79,281,321,65,31,8,1,25,58,48,34,0,116,4,2,0,1,1,1,0.231316725,14111,C
2019,Alfredo Gonzalez,White Sox (AA),26,38,111,134,29,19,9,0,1,20,13,19,0,29,0,1,3,0,0,2,0.261261261,14267,C
2019,Alfredo Gonzalez,White Sox (AAA),26,13,44,49,9,7,1,0,1,4,5,5,0,12,0,0,0,2,0,0,0.204545454,14267,C
2019,Joe Hudson,Cardinals (AAA),28,49,165,178,34,20,4,1,9,19,22,10,0,63,1,2,0,7,0,0,0.206060606,14412,C
2019,Stuart Turner,Reds (AAA),27,28,96,102,15,12,2,0,1,8,11,4,0,28,0,0,2,2,0,0,0.15625,15207,C
2019,Austin Wynns,Orioles (AAA),28,41,127,147,28,22,3,0,3,15,18,16,0,26,2,1,1,2,0,0,0.22047244,15271,C
2019,Willians Astudillo,Twins (AAA),27,9,38,40,20,17,0,0,3,10,11,1,0,1,0,1,0,1,1,1,0.526315789,15608,C
2019,Reese McGuire,Blue Jays (AAA),24,72,243,277,60,42,12,1,5,30,29,25,2,44,2,5,2,5,4,0,0.24691358,15674,C
2019,Chance Sisco,Orioles (AAA),24,45,168,196,49,29,10,0,10,31,37,20,0,44,7,1,0,4,0,0,0.291666666,15694,C
