Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Nick Franklin,Pirates (AAA),28,44,114,136,22,14,5,0,3,15,12,15,0,31,2,4,1,5,2,2,0.192982456,10166,OF
2019,Danny Santana,Rangers (AAA),28,9,35,40,12,7,4,1,0,4,6,4,0,10,1,0,0,1,1,1,0.342857142,10322,OF
2019,Rafael Ortega,Braves (AAA),28,102,394,452,114,59,32,3,20,78,56,56,1,90,1,1,0,1,13,6,0.289340101,10323,OF
2019,Bryce Brentz,Red Sox (AAA),30,81,269,308,63,29,17,0,17,44,49,33,0,105,4,2,0,5,0,2,0.234200743,10607,OF
2019,Ryan LaMarre,Braves (AAA),30,91,323,360,96,62,19,7,8,42,47,27,0,94,7,3,0,5,14,6,0.297213622,10700,OF
2019,Arismendy Alcantara,Mets (AA),27,27,99,112,26,17,7,0,2,16,10,11,0,27,1,0,0,1,5,1,0.262626262,10711,OF
2019,Arismendy Alcantara,Mets (AAA),27,61,185,210,57,34,11,3,9,40,33,22,1,50,0,3,0,2,7,1,0.308108108,10711,OF
2019,Corey Dickerson,Pirates (AAA),30,9,33,38,6,5,1,0,0,4,4,3,0,8,0,2,0,1,0,0,0.181818181,10762,OF
2019,Lane Adams,Phillies (AAA),29,72,271,306,69,38,17,2,12,41,29,30,0,103,5,0,0,3,8,2,0.254612546,10767,OF
2019,Tyler Saladino,Brewers (AAA),29,67,229,264,66,32,18,2,14,43,57,31,0,60,2,2,0,9,6,1,0.288209606,10807,OF
2019,Rangel Ravelo,Cardinals (AAA),27,77,268,303,84,56,18,1,9,40,43,27,1,53,7,1,0,4,0,1,0.313432835,10839,OF
2019,Adam Duvall,Braves (AAA),30,94,347,398,90,39,19,3,29,66,84,40,2,81,9,2,0,9,1,0,0.259365994,10950,OF
2019,Matt Szczur,Diamondbacks (AAA),29,39,135,156,43,24,11,1,7,31,25,17,0,24,0,4,0,1,0,3,0.318518518,11255,OF
2019,Aaron Altherr,Mets (AAA),28,23,62,73,17,8,4,1,4,8,8,9,0,13,2,0,0,3,3,2,0.274193548,11270,OF
2019,Delino DeShields,Rangers (AAA),26,15,66,75,17,11,3,0,3,10,11,8,0,17,0,0,1,1,8,0,0.257575757,11379,OF
2019,Michael A. Taylor,Nationals (AA),28,29,114,126,28,16,7,1,4,18,14,10,0,41,1,1,0,1,7,2,0.245614035,11489,OF
2019,Andrew Romine,Phillies (AAA),33,78,280,308,80,62,9,2,7,42,42,20,0,51,5,2,1,5,17,2,0.285714285,1159,OF
2019,Rosell Herrera,Marlins (AAA),26,18,57,63,18,11,6,0,1,7,7,6,0,12,0,0,0,0,2,0,0.315789473,11611,OF
2019,Jarrett Parker,Angels (AAA),30,74,265,327,76,40,14,1,21,63,60,58,3,91,3,1,0,6,2,0,0.286792452,11624,OF
2019,Drew Robinson,Cardinals (AAA),27,55,189,234,50,34,8,2,6,28,28,36,3,71,3,3,3,2,10,3,0.264550264,11761,OF
2019,Mason Williams,Orioles (AAA),27,92,338,376,101,74,11,2,14,47,52,33,1,64,0,3,2,5,3,6,0.298816568,11859,OF
2019,Noel Cuevas,Rockies (AAA),27,32,109,127,28,18,5,1,4,20,21,16,0,26,1,1,0,4,3,1,0.256880733,11894,OF
2019,Orlando Calixte,Mariners (AAA),27,25,97,104,27,23,2,0,2,13,10,7,0,24,0,0,0,2,3,2,0.278350515,11905,OF
2019,Cody Asche,Red Sox (AA),29,23,72,91,15,11,3,0,1,9,8,17,0,28,1,1,0,1,3,0,0.208333333,11997,OF
2019,Nick Martini,Athletics (AAA),29,60,235,283,78,58,15,0,5,45,36,42,1,46,3,3,0,8,0,0,0.331914893,12005,OF
2019,Jon Berti,Marlins (AAA),29,22,62,79,18,13,1,0,4,14,8,15,0,11,1,1,0,2,5,0,0.29032258,12037,OF
2019,Juniel Querecuto,Diamondbacks (AAA),26,89,335,353,100,71,16,6,7,44,43,12,0,61,2,3,1,10,7,3,0.298507462,12140,OF
2019,Jorge Bonifacio,Royals (AAA),26,88,336,371,73,42,11,3,17,47,46,28,0,95,3,4,0,5,4,2,0.217261904,12174,OF
2019,Scott Schebler,Reds (AAA),28,51,184,202,41,31,5,0,5,18,17,12,1,47,4,2,0,2,0,1,0.222826086,12225,OF
2019,Cory Spangenberg,Brewers (AAA),28,94,353,395,113,72,25,5,11,67,52,34,0,112,6,2,0,2,23,4,0.320113314,12294,OF
2019,Taylor Motter,Athletics (AA),29,30,109,124,20,15,3,0,2,11,10,14,0,28,1,0,0,2,2,2,0.183486238,12399,OF
2019,Alex Dickerson,Padres (AAA),29,26,94,113,35,24,5,1,5,17,20,14,0,18,4,1,0,3,0,0,0.372340425,12649,OF
2019,Billy Burns,Yankees (AAA),29,71,205,230,56,39,12,3,2,30,21,16,1,30,3,3,3,0,11,3,0.273170731,12701,OF
2019,Tyler Pill,Rangers (AAA),29,31,103,121,24,19,3,0,2,13,11,12,0,21,3,3,0,1,0,0,0.233009708,12751,OF
2019,Brad Miller,Yankees (AAA),29,41,136,163,40,20,9,1,10,31,29,24,1,40,1,2,0,2,1,3,0.294117647,12775,OF
2019,Gregory Polanco,Pirates (AAA),27,13,45,54,12,7,4,0,1,5,11,9,0,16,0,0,0,0,2,0,0.266666666,12907,OF
2019,Jose Osuna,Pirates (AAA),26,19,71,83,19,9,7,1,2,13,13,9,0,22,2,1,0,4,2,0,0.267605633,12937,OF
2019,Socrates Brito,Blue Jays (AAA),26,68,274,296,81,45,20,4,12,44,47,18,1,69,0,4,0,1,7,6,0.295620437,12944,OF
2019,Charlie Tilson,White Sox (AAA),26,32,126,142,41,30,7,2,2,27,22,14,0,24,1,1,0,1,4,1,0.325396825,12983,OF
2019,John Andreoli,Mariners (AAA),29,45,156,199,41,26,8,2,5,29,18,39,1,44,1,3,0,1,6,1,0.262820512,13012,OF
2019,John Andreoli,Twins (AAA),29,43,153,185,30,17,7,0,6,19,15,30,0,63,0,2,0,1,3,0,0.196078431,13012,OF
2019,Teoscar Hernandez,Blue Jays (AAA),26,19,75,83,19,13,0,1,5,11,11,6,1,21,1,1,0,1,3,0,0.253333333,13066,OF
2019,Mikie Mahtook,Tigers (AAA),29,73,260,307,67,39,14,1,13,46,42,38,1,79,4,4,1,5,12,5,0.257692307,13130,OF
2019,Nicky Delmonico,White Sox (AAA),26,17,63,76,18,8,7,0,3,13,10,10,1,12,1,2,0,0,1,0,0.285714285,13157,OF
2019,Blake Swihart,Diamondbacks (AAA),27,6,24,30,6,2,1,1,2,6,7,6,0,8,0,0,0,1,0,0,0.25,13176,OF
2019,Tyler Goeddel,Nationals (AA),26,69,197,227,41,29,9,2,1,21,16,23,0,70,4,3,0,3,1,2,0.208121827,13180,OF
2019,Michael Reed,Giants (AAA),26,15,53,60,12,7,4,0,1,8,9,7,0,21,0,0,0,2,2,0,0.226415094,13228,OF
2019,Joey Rickard,Giants (AAA),28,31,121,134,46,28,14,2,2,28,17,9,0,20,1,3,0,3,0,2,0.380165289,13277,OF
2019,Joey Rickard,Orioles (AAA),28,18,64,77,13,4,5,0,4,10,10,11,0,16,2,0,0,1,1,0,0.203125,13277,OF
2019,Darnell Sweeney,Pirates (AAA),28,23,73,79,20,13,4,1,2,9,12,3,0,24,2,0,1,2,2,1,0.273972602,13284,OF
2019,Peter O'Brien,Marlins (AAA),28,44,148,168,35,21,2,0,12,24,29,20,2,64,0,0,0,1,0,0,0.236486486,13288,OF
2019,Bubba Starling,Royals (AAA),26,72,261,285,81,61,11,2,7,34,38,21,0,59,0,3,0,3,9,3,0.310344827,13356,OF
2019,Cameron Perkins,Dodgers (AAA),28,72,254,282,72,44,20,1,7,37,31,21,1,41,7,0,0,7,7,1,0.283464566,13444,OF
2019,Mallex Smith,Mariners (AAA),26,10,45,48,15,11,3,0,1,8,6,3,0,4,0,0,0,0,7,0,0.333333333,13608,OF
2019,Preston Tucker,White Sox (AAA),28,25,83,93,23,14,8,0,1,14,10,9,0,7,0,1,0,2,0,1,0.277108433,13633,OF
2019,Travis Jankowski,Padres (AAA),28,20,80,90,29,24,5,0,0,16,4,8,0,14,1,1,0,4,4,2,0.3625,13768,OF
2019,Rob Refsnyder,Reds (AAA),28,63,215,245,69,45,15,2,7,33,38,25,1,61,1,4,0,7,0,2,0.320930232,13770,OF
2019,Matt Reynolds,Nationals (AAA),28,95,321,379,94,54,24,4,12,52,46,51,1,80,2,2,3,7,5,2,0.29283489,13788,OF
2019,Matt Duffy,Rays (AAA),28,9,33,36,9,7,1,0,1,4,9,1,0,5,1,1,0,1,0,0,0.272727272,13836,OF
2019,Patrick Kivlehan,Blue Jays (AA),29,11,38,44,16,8,5,0,3,5,9,4,0,3,1,1,0,1,1,1,0.421052631,13910,OF
2019,Patrick Kivlehan,Pirates (AAA),29,24,85,95,18,9,5,0,4,11,9,8,0,27,1,0,1,3,0,0,0.211764705,13910,OF
2019,Mac Williamson,Giants (AAA),28,23,82,98,31,18,4,0,9,23,22,13,1,25,1,2,0,1,1,0,0.37804878,14158,OF
2019,Andrew Velazquez,Rays (AAA),24,34,129,141,35,21,9,1,4,20,16,10,0,30,1,0,1,3,2,4,0.271317829,14196,OF
2019,Jason Coats,Rays (AAA),29,68,251,268,62,32,16,0,14,33,37,12,0,76,1,3,1,10,4,3,0.247011952,14282,OF
2019,Anthony Alford,Blue Jays (AAA),24,62,227,257,58,37,13,3,5,32,31,26,0,76,3,0,1,3,17,7,0.255506607,14329,OF
2019,Nick Williams,Phillies (AAA),25,28,113,124,39,21,10,2,6,19,16,7,0,30,4,0,0,0,0,0,0.345132743,14330,OF
