Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Chris Owings,Red Sox (AAA),27,34,130,145,43,27,7,0,9,20,29,10,0,40,2,2,1,0,5,4,0.33076923,10030,SS
2019,Nick Franklin,Pirates (AAA),28,44,114,136,22,14,5,0,3,15,12,15,0,31,2,4,1,5,2,2,0.192982456,10166,SS
2019,Danny Santana,Rangers (AAA),28,9,35,40,12,7,4,1,0,4,6,4,0,10,1,0,0,1,1,1,0.342857142,10322,SS
2019,Gift Ngoepe,Pirates (AA),29,14,30,38,3,3,0,0,0,5,0,8,0,14,0,0,0,0,2,1,0.1,10340,SS
2019,Wilfredo Tovar,Angels (AAA),27,75,293,314,93,71,14,4,4,47,51,18,0,42,0,3,0,14,3,6,0.317406143,10416,SS
2019,Adeiny Hechavarria,Mets (AAA),30,25,92,102,32,23,9,0,0,15,17,6,1,14,1,3,0,1,2,1,0.347826086,10459,SS
2019,Mike Freeman,Indians (AAA),31,9,24,33,5,2,0,0,3,6,3,9,0,7,0,0,0,2,1,0,0.208333333,11241,SS
2019,Ronald Torreyes,Twins (AAA),26,51,198,215,50,30,9,1,10,35,35,10,0,18,2,4,1,5,2,1,0.252525252,11400,SS
2019,Dixon Machado,Cubs (AAA),27,81,265,320,73,40,16,1,16,48,57,49,2,67,4,0,2,7,0,2,0.275471698,11472,SS
2019,Kaleb Cowart,Angels (AAA),27,56,218,241,63,41,12,2,8,34,49,18,1,45,1,3,1,3,1,4,0.288990825,11494,SS
2019,Andrew Romine,Phillies (AAA),33,78,280,308,80,62,9,2,7,42,42,20,0,51,5,2,1,5,17,2,0.285714285,1159,SS
2019,Yadiel Rivera,Marlins (AAA),27,61,223,233,71,50,9,1,11,31,34,4,0,53,2,2,2,7,12,6,0.31838565,11863,SS
2019,Juniel Querecuto,Diamondbacks (AAA),26,89,335,353,100,71,16,6,7,44,43,12,0,61,2,3,1,10,7,3,0.298507462,12140,SS
2019,Taylor Featherston,Royals (AA),29,91,325,354,82,54,11,4,13,44,48,18,0,136,7,3,1,3,3,5,0.252307692,12590,SS
2019,Breyvic Valera,Giants (AAA),27,24,74,92,19,15,3,0,1,10,7,16,0,10,1,0,1,0,2,1,0.256756756,12758,SS
2019,Breyvic Valera,Yankees (AAA),27,65,235,268,77,52,13,1,11,31,36,26,2,24,3,0,4,4,6,4,0.327659574,12758,SS
2019,Kelby Tomlinson,Mariners (AAA),29,42,146,160,38,28,9,1,0,17,5,10,0,27,0,1,3,7,1,1,0.260273972,13005,SS
2019,Kelby Tomlinson,Diamondbacks (AAA),29,30,87,100,19,15,3,1,0,15,5,12,2,25,1,0,0,1,2,2,0.218390804,13005,SS
2019,Luis Sardinas,Nationals (AA),26,59,165,189,33,24,8,0,1,18,14,17,2,24,1,3,3,6,1,3,0.2,13153,SS
2019,Marco Hernandez,Red Sox (A+),26,21,78,91,23,16,7,0,0,15,9,8,0,9,3,2,0,0,1,1,0.294871794,13154,SS
2019,Marco Hernandez,Red Sox (AAA),26,27,103,111,35,23,10,0,2,20,11,5,1,22,0,3,0,2,3,1,0.339805825,13154,SS
