last_name,first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Buxton,Byron,621439,142,MIN,CF,26,42,,30.4
Galloway,Isaac,543194,146,MIA,CF,30,20,4.13,30.1
Gore,Terrance,605253,118,KC,LF,28,16,,30
Mondesi,Adalberto,609275,118,KC,SS,24,61,,30
Berti,Jon,542932,146,MIA,3B,29,28,,30
Brito,Socrates,593647,141,TOR,RF,27,18,,29.8
Hamilton,Billy,571740,118,KC,CF,29,54,3.93,29.6
Hampson,Garrett,641658,115,COL,2B,25,35,4.1,29.6
Engel,Adam,641553,145,CWS,CF,28,20,,29.5
DeShields,Delino,592261,140,TEX,CF,27,30,4.18,29.5
Robles,Victor,645302,120,WSH,CF,22,49,4.27,29.4
Story,Trevor,596115,115,COL,SS,27,49,4.22,29.4
Martin,Richie,621006,110,BAL,SS,25,36,4.26,29.3
Rosario,Amed,642708,121,NYM,SS,24,57,4.15,29.3
Acuna Jr.,Ronald,660670,144,ATL,LF,22,52,4.24,29.3
Kiermaier,Kevin,595281,139,TB,CF,29,68,4.03,29.3
Bellinger,Cody,641355,119,LAD,RF,24,51,3.88,29.3
Trout,Mike,545361,108,LAA,CF,28,48,4.28,29.2
Marisnick,Jake,545350,117,HOU,CF,28,27,4.16,29.2
Kingery,Scott,664068,143,PHI,SS,25,21,4.16,29.2
Broxton,Keon,542979,121,NYM,CF,29,16,,29.2
Mullins,Cedric,656775,110,BAL,CF,25,34,4.06,29.1
Brinson,Lewis,621446,146,MIA,CF,25,31,4.21,29.1
Smith,Mallex,605480,136,SEA,CF,26,49,4.01,29
Tatis Jr.,Fernando,665487,135,SD,SS,20,44,4.15,29
Bourjos,Peter,488721,108,LAA,LF,32,11,,29
Gosselin,Phil,594838,143,PHI,SS,31,15,,29
Shuck,JB,543776,134,PIT,LF,32,22,4.03,28.9
Hernandez,Teoscar,606192,141,TOR,LF,27,36,4.2,28.9
Anderson,Tim,641313,145,CWS,SS,26,65,4.16,28.9
Cordell,Ryan,641477,145,CWS,RF,27,20,,28.9
Marte,Starling,516782,134,PIT,CF,31,48,4.25,28.8
Gardner,Brett,458731,147,NYY,CF,36,51,4.05,28.8
Tucker,Cole,657061,134,PIT,SS,23,24,,28.8
Wade,Tyler,642180,147,NYY,2B,25,24,4.13,28.8
Goodrum,Niko,592348,116,DET,LF,27,43,4.31,28.8
Taylor,Chris,621035,119,LAD,LF,29,42,4.26,28.8
Allen,Greg,656185,114,CLE,LF,26,17,,28.7
Alfaro,Jorge,595751,146,MIA,C,26,37,4.33,28.7
McCutchen,Andrew,457705,143,PHI,LF,33,61,4.35,28.7
Gonzalez,Erik,570481,134,PIT,SS,28,24,4.23,28.6
Realmuto,J.T.,592663,143,PHI,C,28,60,4.27,28.6
Pham,Tommy,502054,139,TB,LF,31,70,4.4,28.6
Yelich,Christian,592885,158,MIL,RF,28,40,4.14,28.6
Swanson,Dansby,621020,144,ATL,SS,25,57,4.23,28.6
Myers,Wil,571976,135,SD,LF,29,36,4.28,28.6
Gamel,Ben,592325,158,MIL,LF,27,35,,28.6
Luplow,Jordan,656669,114,CLE,RF,26,15,,28.5
Diaz,Aledmys,649557,117,HOU,1B,29,28,4.26,28.5
Garcia,Avisail,541645,139,TB,RF,28,50,4.41,28.5
Thomas,Lane,657041,138,STL,CF,24,10,,28.5
Herrera,Rosell,594011,146,MIA,CF,27,40,,28.5
Bader,Harrison,664056,138,STL,CF,25,20,,28.5
Pence,Hunter,452254,140,TEX,DH,36,36,4.21,28.5
Laureano,Ramon,657656,133,OAK,CF,25,49,4.27,28.5
Altherr,Aaron,571437,143,PHI,CF,28,11,,28.5
Merrifield,Whit,593160,118,KC,2B,30,66,4.23,28.4
Duggar,Steven,621453,137,SF,RF,26,58,4.17,28.4
Rickard,Joey,572073,110,BAL,CF,28,40,4.23,28.4
Springer,George,543807,117,HOU,CF,30,54,4.28,28.4
Baez,Javier,595879,112,CHC,SS,27,66,4.21,28.4
Tapia,Raimel,606132,115,COL,LF,25,42,4.25,28.3
Meadows,Austin,640457,139,TB,RF,24,27,4.19,28.3
Albies,Ozzie,645277,144,ATL,2B,22,76,4.08,28.3
Hernandez,Cesar,514917,143,PHI,2B,29,73,4.16,28.3
Margot,Manuel,622534,135,SD,CF,25,30,,28.3
Goodwin,Brian,571718,108,LAA,LF,29,31,,28.3
Adames,Willy,642715,139,TB,SS,24,56,4.24,28.3
Bogaerts,Xander,593428,111,BOS,SS,27,63,4.29,28.3
Altuve,Jose,514888,117,HOU,2B,29,56,4.21,28.3
Senzel,Nick,669222,113,CIN,CF,24,13,,28.2
Dozier,Hunter,641531,118,KC,3B,28,48,4.39,28.2
Maybin,Cameron,457727,147,NYY,RF,32,19,,28.2
Heredia,Guillermo,628338,139,TB,CF,28,16,,28.2
Nimmo,Brandon,607043,121,NYM,CF,26,41,,28.2
Pollock,A.J.,572041,119,LAD,CF,32,49,4.33,28.1
Chapman,Matt,656305,133,OAK,3B,26,68,4.39,28.1
Judge,Aaron,592450,147,NYY,RF,27,19,,28.1
Ahmed,Nick,605113,109,ARI,SS,29,73,4.41,28.1
Lagares,Juan,501571,121,NYM,CF,30,33,4.29,28.1
O'Brien,Peter,598284,146,MIA,RF,29,16,,28.1
