,sprint_speed,hp_to_1b
0,30.5,3.98
1,30.2,3.91
2,30.2,3.88
3,30.1,4.08
4,30.1,3.94
6,30.0,4.07
7,30.0,4.03
11,29.9,4.14
12,29.8,4.14
13,29.8,4.03
14,29.7,4.18
17,29.6,4.1
18,29.5,4.12
20,29.5,3.98
23,29.4,4.19
26,29.4,4.1
27,29.4,4.18
29,29.3,4.23
30,29.3,4.21
31,29.3,4.05
32,29.3,4.08
33,29.2,4.2
34,29.2,4.24
35,29.2,4.29
36,29.2,4.25
37,29.2,4.18
41,29.1,4.02
42,29.1,4.23
43,29.1,4.1
45,29.0,4.15
48,29.0,4.06
49,29.0,4.1
50,29.0,4.13
52,29.0,4.39
53,29.0,4.12
54,29.0,4.14
55,29.0,4.08
57,29.0,4.26
59,28.9,4.35
60,28.9,4.07
61,28.9,4.15
63,28.9,4.17
64,28.9,4.22
65,28.9,4.16
66,28.9,4.15
75,28.7,4.34
76,28.7,4.18
77,28.7,4.32
81,28.7,4.18
82,28.6,4.42
84,28.6,4.13
87,28.6,4.27
88,28.6,4.28
89,28.6,4.08
91,28.6,4.25
92,28.6,4.18
95,28.6,4.44
96,28.6,4.2
98,28.6,4.17
100,28.5,4.24
101,28.5,4.21
102,28.5,4.31
103,28.5,4.14
104,28.5,4.29
105,28.5,4.23
108,28.4,4.25
111,28.4,4.32
116,28.4,4.3
117,28.3,4.19
118,28.3,4.19
119,28.3,4.2
120,28.3,4.35
124,28.3,4.33
127,28.3,4.14
128,28.2,4.23
130,28.2,4.4
131,28.2,4.34
132,28.2,4.22
133,28.2,4.24
135,28.2,4.3
136,28.2,4.32
145,28.1,4.33
148,28.1,4.31
150,28.1,4.18
153,28.1,4.27
154,28.1,4.17
155,28.0,4.19
156,28.0,4.27
166,28.0,4.43
169,28.0,4.37
172,28.0,4.56
173,28.0,4.3
174,28.0,4.35
175,27.9,4.36
178,27.9,4.32
181,27.9,4.27
182,27.9,4.34
183,27.9,4.12
185,27.9,4.34
186,27.8,4.18
187,27.8,4.37
192,27.8,4.34
193,27.8,4.22
194,27.8,4.26
196,27.8,4.38
197,27.8,4.35
198,27.8,4.42
201,27.8,4.28
202,27.8,4.35
203,27.7,4.29
208,27.7,4.23
209,27.7,4.23
210,27.7,4.23
212,27.7,4.27
214,27.7,4.37
215,27.7,4.24
219,27.7,4.34
220,27.7,4.31
224,27.7,4.33
226,27.6,4.31
228,27.6,4.27
229,27.6,4.42
230,27.6,4.34
231,27.6,4.33
233,27.6,4.19
236,27.6,4.38
238,27.6,4.15
244,27.5,4.3
248,27.5,4.36
250,27.5,4.27
251,27.5,4.35
253,27.5,4.17
255,27.5,4.39
257,27.5,4.51
258,27.5,4.26
263,27.4,4.33
265,27.4,4.39
269,27.3,4.1
274,27.3,4.37
278,27.3,4.45
280,27.2,4.35
282,27.2,4.2
286,27.2,4.51
289,27.1,4.44
290,27.1,4.25
293,27.1,4.37
294,27.1,4.46
297,27.1,4.29
298,27.1,4.34
304,27.0,4.49
307,27.0,4.37
308,27.0,4.49
309,27.0,4.51
317,26.9,4.51
319,26.8,4.32
321,26.8,4.3
326,26.8,4.54
334,26.8,4.32
336,26.7,4.42
337,26.7,4.53
338,26.7,4.42
340,26.7,4.21
341,26.7,4.36
360,26.6,4.31
371,26.5,4.54
376,26.5,4.48
381,26.4,4.4
382,26.4,4.4
385,26.4,4.44
390,26.3,4.56
397,26.3,4.34
398,26.3,4.52
409,26.1,4.58
410,26.1,4.52
413,26.1,4.6
417,26.0,4.44
418,26.0,4.51
419,26.0,4.5
457,25.6,4.73
465,25.5,4.57
467,25.5,4.52
