,last_name,first_name,key_mlbam,team_id,position,competitive_runs,hp_to_1b,sprint_speed,name_last,name_first,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,Name,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (pfx),FT% (pfx),FC% (pfx),FS% (pfx),FO% (pfx),SI% (pfx),SL% (pfx),CU% (pfx),KC% (pfx),EP% (pfx),CH% (pfx),SC% (pfx),KN% (pfx),UN% (pfx),vFA (pfx),vFT (pfx),vFC (pfx),vFS (pfx),vFO (pfx),vSI (pfx),vSL (pfx),vCU (pfx),vKC (pfx),vEP (pfx),vCH (pfx),vSC (pfx),vKN (pfx),FA-X (pfx),FT-X (pfx),FC-X (pfx),FS-X (pfx),FO-X (pfx),SI-X (pfx),SL-X (pfx),CU-X (pfx),KC-X (pfx),EP-X (pfx),CH-X (pfx),SC-X (pfx),KN-X (pfx),FA-Z (pfx),FT-Z (pfx),FC-Z (pfx),FS-Z (pfx),FO-Z (pfx),SI-Z (pfx),SL-Z (pfx),CU-Z (pfx),KC-Z (pfx),EP-Z (pfx),CH-Z (pfx),SC-Z (pfx),KN-Z (pfx),wFA (pfx),wFT (pfx),wFC (pfx),wFS (pfx),wFO (pfx),wSI (pfx),wSL (pfx),wCU (pfx),wKC (pfx),wEP (pfx),wCH (pfx),wSC (pfx),wKN (pfx),wFA/C (pfx),wFT/C (pfx),wFC/C (pfx),wFS/C (pfx),wFO/C (pfx),wSI/C (pfx),wSL/C (pfx),wCU/C (pfx),wKC/C (pfx),wEP/C (pfx),wCH/C (pfx),wSC/C (pfx),wKN/C (pfx),O-Swing% (pfx),Z-Swing% (pfx),Swing% (pfx),O-Contact% (pfx),Z-Contact% (pfx),Contact% (pfx),Zone% (pfx),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi)
0,Buxton,Byron,621439,142,CF,35,3.98,30.5,buxton,byron,buxtb001,buxtoby01,14161,2015.0,2019.0,Byron Buxton,2018.0,Twins,24.0,28.0,90.0,94.0,14.0,10.0,4.0,0.0,0.0,8.0,4.0,3.0,0.0,28.0,0.0,0.0,1.0,1.0,5.0,0.0,0.156,26.0,20.0,14.0,3.0,355.0,109.0,246.0,2.0,3.0,1.0,0.032,0.298,0.11,0.183,0.2,0.383,0.044,0.226,0.013000000000000001,0.233,0.433,0.33299999999999996,0.15,0.0,0.077,0.33299999999999996,0.17,-11.1,0.0,-11.5,2.2,2.8,0.4,-3.4,-0.4,($2.8),7.0,-3.0,-1.09,-2.19,1.1,-8.48,-0.86,1.05,,0.0,-0.99,-0.05,0.51,92.8,0.239,83.0,0.087,86.9,0.10099999999999999,78.7,0.054000000000000006,82.1,0.009000000000000001,83.3,,,,,-5.7,-2.7,-1.9,-0.1,-0.8,-0.1,,-3.14,-3.15,-6.0,-0.28,-4.16,-4.55,,0.39399999999999996,0.73,0.5379999999999999,0.588,0.8290000000000001,0.728,0.428,0.628,0.147,2.5,0.371,0.091,0.07400000000000001,0.009000000000000001,,0.051,0.23199999999999998,0.094,0.026000000000000002,,0.054000000000000006,,,,93.5,91.5,86.5,83.2,,90.1,83.8,77.8,80.0,,82.1,,,-2.9,-5.2,-0.2,-3.7,,-7.8,2.5,2.8,1.1,,1.0,,,9.8,5.9,5.5,2.9,,3.6,1.0,-5.2,-5.3,,4.0,,,-6.1,0.2,-2.0,-0.1,,-0.1,-1.0,-1.4,-0.2,,-0.9,,,-4.68,0.67,-7.81,-4.6,,-0.31,-1.24,-4.32,-1.74,,-4.5,,,0.35600000000000004,0.723,0.535,0.516,0.84,0.73,0.49,22.1,2.5,1.0,1.1,24 - 24,-9.1,0.3,0.4,0.47600000000000003,0.33299999999999996,0.191,0.175,0.524,0.302,0.33,0.053,,0.095,0.373,0.092,0.008,,,0.14,0.23800000000000002,,82.5,,79.4,94.0,87.3,83.6,,,91.6,83.0,,1.2,,2.8,-2.4,0.6,-3.2,,,-5.9,3.8,,3.3,,-7.5,9.1,4.5,2.1,,,4.3,-0.4,,-0.9,,-1.1,-6.2,-2.2,-0.1,,,-0.2,-1.4,,-4.5,,-3.1,-4.66,-6.73,-4.6,,,-0.31,-1.59,,0.36700000000000005,0.6940000000000001,0.532,0.5539999999999999,0.8320000000000001,0.737,0.504,22.6
1,Sierra,Magneuris,642423,146,CF,63,3.91,30.2,sierra,magneuris,sierm002,sierrma01,17023,2017.0,2018.0,Magneuris Sierra,2018.0,Marlins,22.0,54.0,147.0,156.0,28.0,25.0,3.0,0.0,0.0,10.0,7.0,6.0,1.0,39.0,0.0,0.0,3.0,0.0,3.0,2.0,0.19,54.0,18.0,22.0,4.0,570.0,169.0,401.0,11.0,17.0,5.0,0.038,0.25,0.15,0.222,0.211,0.433,0.02,0.259,0.03,0.23399999999999999,0.574,0.191,0.222,0.0,0.204,0.294,0.192,-15.6,3.0,-15.5,-5.2,4.7,-0.2,-14.8,-1.5,($12.2),3.4,19.0,-1.48,-3.07,1.59,-14.1,-1.58,1.05,0.37,4.0,-1.44,0.03,0.591,93.5,0.14,84.0,0.026000000000000002,89.0,0.12300000000000001,79.6,0.09300000000000001,84.7,0.026000000000000002,85.8,,,0.006999999999999999,,-7.0,-2.3,-0.6,-0.7,-2.2,-0.7,,-2.08,-2.84,-3.82,-1.0,-4.08,-4.53,,0.424,0.627,0.512,0.647,0.904,0.784,0.43700000000000006,0.7440000000000001,0.111,1.2,0.42100000000000004,0.07200000000000001,0.013999999999999999,0.037000000000000005,,0.102,0.149,0.11599999999999999,0.011000000000000001,,0.079,,,,93.5,93.0,87.9,85.9,,93.2,84.3,79.5,80.6,,84.4,,,-4.9,-8.5,1.6,-6.0,,-7.0,0.0,2.9,1.3,,-9.0,,,9.3,6.0,5.6,3.4,,4.7,1.3,-4.1,-4.2,,3.8,,,-4.1,-1.3,-0.2,-2.6,,-1.8,-2.8,-0.3,-0.5,,-0.5,,,-1.7,-3.2,-2.94,-12.24,,-3.05,-3.27,-0.46,-8.36,,-1.14,,,0.39899999999999997,0.62,0.512,0.595,0.9009999999999999,0.784,0.512,21.6,-5.5,-0.3,0.5,22 - 22,-14.3,0.3,1.0,0.387,0.315,0.297,0.252,0.55,0.198,0.289,0.091,,0.132,0.42700000000000005,0.023,0.023,,,0.168,0.136,,84.9,,80.4,94.0,89.1,86.8,,,93.5,84.2,,-8.5,,3.1,-4.4,1.3,-4.2,,,-6.9,0.3,,3.1,,-5.1,8.9,4.6,1.4,,,4.8,0.8,,-1.4,,-0.8,-4.5,-0.5,-1.1,,,-2.7,-2.4,,-2.77,,-1.11,-1.87,-3.48,-8.34,,,-2.83,-3.16,,0.41100000000000003,0.615,0.513,0.595,0.9009999999999999,0.777,0.496,22.0
2,Quinn,Roman,596451,143,CF,56,3.88,30.2,quinn,roman,quinr003,quinnro01,13546,2016.0,2019.0,Roman Quinn,2018.0,Phillies,25.0,50.0,131.0,143.0,34.0,22.0,6.0,4.0,2.0,13.0,12.0,10.0,0.0,35.0,1.0,0.0,1.0,1.0,10.0,4.0,0.26,45.0,30.0,17.0,3.0,560.0,209.0,351.0,8.0,5.0,2.0,0.07,0.245,0.29,0.317,0.412,0.729,0.153,0.34,0.015,0.185,0.489,0.326,0.1,0.067,0.17800000000000002,0.4,0.316,0.1,17.0,-0.5,-1.7,4.3,0.1,2.0,0.2,$1.6,7.3,97.0,-0.36,-2.58,2.21,-1.75,-0.18,0.95,1.08,12.0,-0.09,-0.29,0.588,94.0,0.084,86.4,0.063,90.0,0.105,78.8,0.14800000000000002,85.3,0.013000000000000001,82.4,,,,,1.2,0.6,-0.8,1.2,0.6,-0.7,,0.35,1.36,-2.39,2.03,0.7,-10.54,,0.27399999999999997,0.736,0.48,0.529,0.8370000000000001,0.74,0.446,0.518,0.125,-0.4,0.38799999999999996,0.113,0.064,0.036000000000000004,,0.08900000000000001,0.084,0.10400000000000001,0.002,,0.121,,,,94.0,93.8,89.8,83.3,,93.9,86.4,78.6,84.3,,85.6,,,-3.1,-5.0,1.3,-1.5,,1.5,0.7,0.5,3.9,,-1.9,,,8.9,6.5,4.4,4.4,,5.7,1.3,-4.0,-4.7,,4.2,,,-0.5,0.7,-1.0,-0.1,,0.9,0.6,1.5,-0.2,,0.1,,,-0.22,1.04,-2.66,-0.45,,1.73,1.19,2.63,-24.21,,0.18,,,0.23600000000000002,0.6940000000000001,0.479,0.40299999999999997,0.845,0.743,0.53,22.0,-1.6,0.3,-1.1,25 - 25,-0.9,0.2,0.4,0.268,0.495,0.237,0.247,0.536,0.217,0.32899999999999996,0.136,,0.107,0.455,0.057,0.028999999999999998,,,0.129,0.08800000000000001,,86.0,,79.3,94.6,90.3,83.2,,,93.7,87.1,,-1.9,,0.8,-3.1,2.0,0.3,,,-0.6,0.6,,4.0,,-4.7,8.5,4.7,3.0,,,5.5,1.4,,0.8,,1.2,0.0,-0.6,-0.9,,,1.0,0.5,,1.01,,2.06,-0.02,-1.93,-5.57,,,1.43,0.94,,0.235,0.696,0.479,0.452,0.83,0.743,0.529,22.4
3,Engel,Adam,641553,145,CF,181,4.08,30.1,engel,adam,engea001,engelad01,15082,2017.0,2019.0,Adam Engel,2018.0,White Sox,26.0,143.0,429.0,463.0,101.0,74.0,17.0,4.0,6.0,49.0,29.0,18.0,0.0,129.0,8.0,1.0,7.0,1.0,16.0,8.0,0.235,120.0,120.0,54.0,22.0,1694.0,514.0,1180.0,12.0,14.0,7.0,0.039,0.27899999999999997,0.14,0.279,0.336,0.614,0.1,0.322,0.01,0.184,0.408,0.408,0.183,0.05,0.1,0.5,0.27,-17.0,37.0,-17.5,-0.6,13.9,1.7,2.0,0.2,$1.6,6.4,68.0,-2.64,-8.27,5.63,-21.73,-2.25,0.95,1.5,3.0,-1.66,-1.12,0.569,92.4,0.195,84.1,0.053,87.6,0.113,79.9,0.063,82.5,0.006999999999999999,84.1,,,0.001,,-4.2,-9.0,-0.5,1.8,-2.0,-0.2,,-0.43,-2.72,-0.52,0.93,-1.9,-1.56,,0.401,0.688,0.527,0.546,0.826,0.706,0.439,0.6829999999999999,0.155,3.1,0.37200000000000005,0.125,0.047,0.013000000000000001,,0.07200000000000001,0.205,0.08800000000000001,0.02,,0.059000000000000004,,,,92.9,91.9,87.5,84.5,,90.3,84.2,79.4,81.0,,82.3,,,-2.5,-4.3,0.7,-5.2,,-2.4,2.0,2.5,2.0,,2.2,,,9.2,5.8,4.6,2.8,,3.5,1.1,-4.7,-7.7,,4.5,,,-10.3,5.7,-3.3,0.4,,0.2,-7.3,-1.6,2.1,,-2.1,,,-1.65,2.71,-4.06,1.83,,0.19,-2.12,-1.07,6.5,,-2.14,,,0.387,0.677,0.528,0.5,0.826,0.703,0.486,23.5,1.1,-0.3,1.4,26 - 26,-14.4,1.4,2.0,0.455,0.308,0.237,0.25,0.494,0.257,0.331,0.059000000000000004,,0.10099999999999999,0.379,0.055,0.009000000000000001,,,0.188,0.207,0.002,82.7,,79.8,93.3,87.6,85.1,,,91.8,84.5,94.5,2.6,,2.7,-1.6,1.5,-6.9,,,-3.7,3.0,5.9,4.1,,-6.2,8.9,4.1,2.0,,,4.6,0.5,13.3,-2.2,,3.1,-10.6,-2.4,-0.3,,,5.7,-8.7,-0.1,-2.17,,1.79,-1.65,-2.59,-1.81,,,1.8,-2.48,-2.79,0.39399999999999996,0.669,0.528,0.513,0.823,0.7040000000000001,0.486,24.0
4,Hamilton,Billy,571740,113,CF,203,3.94,30.1,hamilton,billy,hamib001,hamilbi02,10199,2013.0,2019.0,Billy Hamilton,2018.0,Reds,27.0,153.0,504.0,556.0,119.0,90.0,16.0,9.0,4.0,74.0,29.0,46.0,0.0,132.0,1.0,4.0,1.0,1.0,34.0,10.0,0.236,138.0,128.0,98.0,22.0,2135.0,746.0,1389.0,14.0,13.0,4.0,0.083,0.237,0.35,0.299,0.327,0.626,0.091,0.309,0.0108,0.26899999999999996,0.379,0.35200000000000004,0.172,0.031,0.10099999999999999,0.308,0.277,-17.0,48.0,-21.0,5.9,16.6,2.1,12.9,1.3,$10.7,8.3,69.0,-2.41,-10.46,8.05,-15.55,-1.66,1.0,0.95,4.0,-1.97,-0.45,0.622,92.5,0.095,84.3,0.038,89.4,0.132,77.8,0.1,83.5,0.013000000000000001,86.3,,,,,-7.1,-4.5,2.7,-1.9,-4.8,1.0,,-0.53,-2.23,3.28,-0.68,-2.23,3.75,,0.299,0.6759999999999999,0.475,0.677,0.84,0.785,0.466,0.653,0.102,8.4,0.442,0.13,0.037000000000000005,0.012,0.001,0.05,0.096,0.11199999999999999,0.02,,0.1,,,,92.5,92.4,89.1,85.8,86.2,92.4,84.4,77.4,79.4,,83.7,,,-1.5,-4.5,-0.5,-2.6,-7.6,-4.6,1.5,1.3,2.5,,-3.6,,,9.0,6.4,5.0,2.1,9.2,4.6,1.0,-5.6,-5.7,,4.6,,,0.2,-8.2,0.8,0.2,0.1,0.2,-3.3,-3.8,1.2,,-4.3,,,0.02,-2.95,1.02,0.7,5.09,0.23,-1.63,-1.57,2.95,,-2.03,,,0.299,0.644,0.47600000000000003,0.685,0.828,0.784,0.512,21.2,8.1,2.4,4.4,27 - 27,-12.6,0.9,1.6,0.348,0.33399999999999996,0.318,0.268,0.541,0.191,0.327,0.10099999999999999,,0.131,0.461,0.040999999999999995,0.011000000000000001,,,0.161,0.09300000000000001,0.001,84.2,,78.3,93.2,89.5,86.2,,,92.9,85.0,89.4,-3.1,,1.9,-1.3,0.1,-3.0,,,-3.9,2.0,17.4,4.0,,-6.4,8.9,4.7,1.6,,,5.3,0.8,-6.3,-4.9,,-3.0,3.6,0.8,1.1,,,-9.9,-2.8,-0.5,-2.26,,-1.07,0.36,0.87,4.4,,,-2.88,-1.44,-17.84,0.303,0.642,0.47600000000000003,0.6920000000000001,0.826,0.784,0.51,21.5
6,Bader,Harrison,664056,138,CF,152,4.07,30.0,bader,harrison,badeh001,baderha01,18030,2017.0,2019.0,Harrison Bader,2018.0,Cardinals,24.0,138.0,379.0,427.0,100.0,66.0,20.0,2.0,12.0,61.0,37.0,31.0,3.0,125.0,11.0,4.0,2.0,1.0,15.0,3.0,0.264,101.0,85.0,68.0,12.0,1772.0,649.0,1123.0,18.0,6.0,0.0,0.073,0.293,0.25,0.334,0.422,0.756,0.158,0.358,0.011899999999999999,0.268,0.39799999999999996,0.335,0.141,0.141,0.17800000000000002,0.0,0.326,4.1,54.0,3.0,10.7,12.8,-0.5,34.3,3.5,$28.2,6.5,106.0,1.06,-6.61,7.68,8.06,0.78,0.96,1.44,23.0,0.33,0.78,0.524,92.9,0.19899999999999998,84.1,0.057999999999999996,88.6,0.113,77.9,0.10099999999999999,84.0,0.006,85.5,,,0.006999999999999999,,12.0,-2.8,0.9,-1.4,0.0,-0.3,,1.29,-0.79,0.92,-0.7,-0.02,-2.52,,0.306,0.6459999999999999,0.451,0.595,0.8340000000000001,0.741,0.42700000000000005,0.595,0.11699999999999999,7.6,0.341,0.114,0.051,0.011000000000000001,,0.064,0.20600000000000002,0.10099999999999999,0.015,,0.09699999999999999,,,,93.4,92.8,88.7,86.6,,91.7,84.2,77.1,80.4,,83.8,,,-1.3,-4.4,0.4,0.0,,-5.2,2.1,0.4,2.9,,1.9,,,8.9,5.9,5.2,4.1,,4.4,1.1,-4.6,-4.6,,4.4,,,-1.7,7.0,2.9,-0.2,,4.1,-6.9,0.1,0.1,,0.6,,,-0.28,3.44,3.17,-1.26,,3.66,-1.9,0.08,0.23,,0.33,,,0.29,0.625,0.451,0.532,0.843,0.7390000000000001,0.48,23.2,10.2,1.5,4.1,24 - 24,10.6,0.7,2.0,0.465,0.29600000000000004,0.239,0.215,0.408,0.377,0.39299999999999996,0.094,0.001,0.113,0.363,0.057999999999999996,0.011000000000000001,,,0.16,0.2,0.001,84.3,70.3,78.2,93.7,88.6,85.7,,,92.8,84.8,93.0,2.2,-9.1,1.6,-1.2,1.0,-1.0,,,-4.4,2.6,-16.0,3.9,-4.9,-5.5,8.6,4.4,4.3,,,4.8,0.6,2.8,0.7,0.0,-0.8,-1.7,3.6,-1.0,,,12.3,-7.3,0.1,0.42,0.0,-0.39,-0.27,3.58,-5.0,,,4.35,-2.07,8.87,0.287,0.628,0.451,0.529,0.843,0.7390000000000001,0.48100000000000004,23.8
7,DeShields,Delino,592261,140,CF,150,4.03,30.0,deshields,delino,deshd002,deshide02,11379,2015.0,2019.0,Delino DeShields,2018.0,Rangers,25.0,106.0,334.0,393.0,72.0,55.0,14.0,1.0,2.0,52.0,22.0,43.0,0.0,83.0,3.0,1.0,12.0,1.0,20.0,4.0,0.216,114.0,74.0,44.0,4.0,1574.0,609.0,965.0,10.0,32.0,12.0,0.109,0.21100000000000002,0.52,0.31,0.281,0.591,0.066,0.28,0.0154,0.19,0.491,0.319,0.054000000000000006,0.027000000000000003,0.08800000000000001,0.375,0.271,-14.0,32.0,-18.5,3.4,11.8,1.1,2.9,0.3,$2.4,6.5,61.0,-0.73,-6.83,6.09,-10.84,-1.14,0.99,0.63,2.0,-1.24,0.49,0.588,92.8,0.205,83.9,0.075,88.0,0.055999999999999994,79.2,0.071,84.2,0.006,86.8,,,,,-3.6,-7.5,-0.9,1.6,-1.0,0.6,,-0.39,-2.34,-0.73,1.81,-0.91,6.66,,0.23399999999999999,0.584,0.39,0.642,0.895,0.8109999999999999,0.445,0.623,0.07400000000000001,4.0,0.369,0.14300000000000002,0.065,0.006999999999999999,,0.08,0.209,0.047,0.011000000000000001,0.001,0.069,,,,93.2,92.2,88.2,84.4,,91.3,84.1,78.5,81.9,65.6,84.4,,,-1.9,-1.1,0.2,-0.8,,-3.3,1.8,2.3,2.3,5.3,2.2,,,9.1,5.3,5.0,3.0,,4.6,1.2,-4.4,-5.0,-5.5,3.7,,,-6.0,4.1,1.0,0.4,,-3.0,-9.8,0.6,-0.3,0.0,-0.5,,,-1.03,1.84,1.01,3.41,,-2.42,-2.98,0.87,-1.58,-3.99,-0.42,,,0.22,0.5589999999999999,0.391,0.62,0.887,0.813,0.504,22.4,4.5,2.1,0.4,25 - 25,-14.5,1.2,1.5,0.311,0.375,0.314,0.193,0.53,0.27699999999999997,0.326,0.069,,0.059000000000000004,0.376,0.08,0.006999999999999999,,,0.21,0.2,,84.8,,79.4,93.8,88.2,84.8,,,92.2,84.5,,2.2,,3.0,-1.3,0.8,-0.7,,,-1.8,2.4,,2.9,,-5.6,8.8,4.6,2.8,,,4.7,0.6,,-1.8,,0.0,-3.3,-0.9,0.8,,,-0.7,-7.4,,-1.63,,0.05,-0.56,-0.74,6.84,,,-0.22,-2.35,,0.225,0.5589999999999999,0.39,0.62,0.894,0.8140000000000001,0.494,22.6
11,Galloway,Isaac,543194,146,CF,22,4.14,29.9,galloway,isaac,galli001,gallois01,5238,2018.0,2019.0,Isaac Galloway,2018.0,Marlins,28.0,43.0,64.0,74.0,13.0,7.0,3.0,0.0,3.0,7.0,7.0,9.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,1.0,0.203,14.0,19.0,9.0,1.0,281.0,100.0,181.0,1.0,2.0,0.0,0.122,0.284,0.43,0.301,0.391,0.692,0.188,0.25,0.0074,0.214,0.33299999999999996,0.452,0.053,0.158,0.071,0.0,0.304,-0.6,8.0,-0.6,3.0,2.2,-0.4,4.4,0.5,$3.6,2.3,94.0,0.28,-1.35,1.63,-0.55,-0.09,1.11,0.96,10.0,-0.1,0.35,0.594,93.1,0.157,85.0,0.028999999999999998,90.1,0.125,80.0,0.085,83.0,0.011000000000000001,85.3,,,,,-1.7,-2.0,0.6,0.6,1.6,0.0,,-1.03,-4.46,6.92,1.65,6.72,-0.61,,0.316,0.667,0.473,0.5710000000000001,0.7859999999999999,0.7070000000000001,0.44799999999999995,0.581,0.139,0.1,0.35200000000000004,0.114,0.025,,,0.128,0.157,0.096,0.032,,0.096,,,,93.4,92.2,89.6,,,93.0,85.2,79.0,83.0,,83.2,,,-0.2,1.8,1.3,,,-0.2,1.8,1.0,0.5,,3.6,,,9.5,7.2,4.8,,,5.3,1.0,-4.0,-6.0,,4.0,,,-0.3,-1.2,-0.1,,,-0.2,-1.5,0.7,0.0,,1.5,,,-0.3,-3.9,-2.0,,,-0.43,-3.48,2.66,0.15,,5.45,,,0.29600000000000004,0.655,0.473,0.524,0.7909999999999999,0.7070000000000001,0.495,21.6,2.6,-0.2,-0.1,28 - 28,-0.5,0.1,0.4,0.364,0.409,0.22699999999999998,0.159,0.614,0.22699999999999998,0.446,0.08900000000000001,,0.121,0.374,0.032,0.011000000000000001,,,0.217,0.157,,83.3,,80.3,93.6,89.0,85.6,,,93.3,85.3,,4.8,,0.7,0.4,2.3,-5.3,,,-0.1,2.4,,3.6,,-5.5,9.0,4.7,2.0,,,5.8,0.3,,1.5,,0.7,-0.4,0.8,0.0,,,-1.4,-2.4,,6.11,,1.94,-0.35,8.96,-0.58,,,-2.26,-5.47,,0.27899999999999997,0.655,0.473,0.526,0.779,0.7070000000000001,0.516,22.5
12,Andreoli,John,607430,110,LF,25,4.14,29.8,andreoli,john,andrj001,andrejo03,13012,2018.0,2018.0,John Andreoli,2018.0,- - -,28.0,26.0,61.0,67.0,14.0,12.0,2.0,0.0,0.0,4.0,4.0,5.0,0.0,19.0,0.0,1.0,0.0,1.0,2.0,0.0,0.23,13.0,21.0,9.0,2.0,281.0,103.0,178.0,6.0,0.0,0.0,0.075,0.284,0.26,0.284,0.262,0.546,0.033,0.326,0.0062,0.209,0.302,0.488,0.095,0.0,0.462,0.0,0.246,-3.7,4.0,-3.9,1.4,2.0,-0.9,-0.3,0.0,($0.2),4.1,51.0,-0.4,-1.14,0.74,-4.69,-0.48,1.0,0.02,1.0,-0.45,0.05,0.507,91.8,0.23600000000000002,83.8,0.064,87.3,0.054000000000000006,79.7,0.136,84.1,0.004,87.0,,,0.004,,-1.7,0.5,-0.5,-0.6,-1.6,0.0,,-1.2,0.72,-2.59,-3.8,-4.24,3.61,,0.314,0.597,0.439,0.653,0.865,0.7809999999999999,0.44299999999999995,0.5820000000000001,0.096,1.0,0.33899999999999997,0.068,0.032,,,0.1,0.261,0.05,0.006999999999999999,,0.14300000000000002,,,,92.5,92.2,87.5,,,89.3,84.0,79.1,85.4,,84.3,,,0.9,-3.6,1.0,,,1.5,1.2,-0.4,6.9,,5.9,,,9.1,5.9,5.9,,,5.3,0.8,-6.0,1.1,,3.9,,,-0.1,-0.7,-0.9,,,-0.1,0.9,-0.4,-0.1,,-2.5,,,-0.14,-3.69,-9.78,,,-0.23,1.22,-2.86,-4.88,,-6.24,,,0.301,0.584,0.439,0.605,0.863,0.772,0.489,24.4,0.5,0.4,0.4,28 - 28,-3.0,0.2,0.2,0.302,0.302,0.395,0.233,0.488,0.27899999999999997,0.358,0.139,,0.057,0.386,0.043,,,,0.125,0.25,,84.6,,80.6,92.5,87.3,,,,91.2,84.3,,6.0,,0.3,2.0,0.0,,,,-4.5,1.8,,3.1,,-5.9,8.2,4.9,,,,5.3,0.1,,-2.5,,-0.7,-1.0,-0.8,,,,0.1,1.0,,-6.48,,-4.39,-0.89,-6.72,,,,0.28,1.47,,0.309,0.5670000000000001,0.439,0.605,0.863,0.772,0.504,24.8
13,Smith,Mallex,605480,139,CF,255,4.03,29.8,smith,mallex,smitm007,smithma05,13608,2016.0,2019.0,Mallex Smith,2018.0,Rays,25.0,141.0,480.0,544.0,142.0,103.0,27.0,10.0,2.0,65.0,40.0,47.0,0.0,98.0,8.0,2.0,7.0,11.0,40.0,12.0,0.296,186.0,95.0,93.0,5.0,2061.0,744.0,1317.0,26.0,17.0,4.0,0.086,0.18,0.48,0.367,0.406,0.773,0.11,0.366,0.0196,0.249,0.49700000000000005,0.254,0.053,0.021,0.14,0.235,0.339,11.0,75.0,11.2,-0.5,16.3,-1.9,33.3,3.4,$27.5,7.7,117.0,-0.09,-9.71,9.63,4.45,0.51,1.01,0.99,7.0,1.5,-1.59,0.5770000000000001,92.6,0.135,83.6,0.033,89.4,0.102,78.3,0.131,84.4,0.022000000000000002,85.5,,,0.001,,11.1,-1.5,-2.4,2.2,-1.4,-0.3,,0.93,-0.55,-3.48,1.04,-0.53,-0.76,,0.29600000000000004,0.726,0.489,0.64,0.8290000000000001,0.7659999999999999,0.449,0.612,0.115,6.6,0.41,0.087,0.03,0.022000000000000002,,0.08199999999999999,0.13,0.08800000000000001,0.021,,0.13,,,,92.9,92.3,89.0,85.6,,90.9,84.0,77.4,81.4,,84.2,,,-2.6,-6.0,-0.1,-7.4,,-2.6,0.1,1.9,3.5,,-7.7,,,9.7,6.2,4.7,2.5,,5.5,1.3,-5.3,-5.5,,4.3,,,10.9,-1.5,0.2,-0.3,,0.7,-0.3,-0.1,-1.1,,-1.1,,,1.29,-0.85,0.32,-0.75,,0.43,-0.12,-0.06,-2.61,,-0.4,,,0.293,0.6890000000000001,0.489,0.623,0.828,0.7659999999999999,0.495,23.9,-2.5,2.7,4.1,25 - 25,17.9,1.7,-0.2,0.289,0.379,0.33299999999999996,0.192,0.537,0.271,0.27,0.128,0.001,0.105,0.44299999999999995,0.031,0.023,,,0.136,0.133,,84.9,69.1,78.7,93.4,89.7,85.9,,,92.2,84.4,,-7.2,6.9,2.4,-1.9,0.4,-6.9,,,-5.8,0.3,,3.6,-11.0,-6.5,9.0,4.4,1.6,,,5.2,0.5,,-1.2,0.1,0.7,12.7,0.0,-0.7,,,-2.8,-2.0,,-0.46,8.87,0.34,1.39,-0.06,-1.43,,,-0.98,-0.73,,0.29100000000000004,0.6940000000000001,0.49,0.621,0.8270000000000001,0.765,0.494,24.5
